Diagnosis,LogsheetType,LogsheetTab,Column,Row,Value,ExtendedDiagnosis,FilePath,DataType,Requirement
orcid error,water,observatory,contact_name,1,Oihane Diaz De Cerio Arruabarrena,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_observatory.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,1,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,2,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,3,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,4,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,5,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,6,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,7,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,8,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,9,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,10,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,11,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,12,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,13,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,14,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,15,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,16,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,17,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,18,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,19,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,20,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,21,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
orcid error,water,sampling,sampl_person,22,Oihane Diaz de Cerio,orcid 0000-0002-5605-8434 corresponds to person name Oihane Diaz de cerio,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
