source_mat_id_orig,samp_description,samp_collect_device,tax_id,scientific_name,investigation_type,env_material,deployment_date,collection_date,arms_unit_id,sampling_event,crate_cover,preservative,sampl_person,sampl_person_orcid,depth,rep_check,replicate,samp_fraction,size_filter,noteworthy_env_cond,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,images_in_PlutoF,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON PiEGetxo Ha 210729-211124 MF 05 1.1,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo1,PiEGetxo_G1_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,1,MF,500,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_1
EMO BON PiEGetxo Ha 210729-211124 MF 01 1.1,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo1,PiEGetxo_G1_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,1,MF,100,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_2
EMO BON PiEGetxo Ha 210729-211124 SF 1.1,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo1,PiEGetxo_G1_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,1,SF,,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_3
EMO BON PiEGetxo Ha 210729-211124 MF 05 1.2,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo1,PiEGetxo_G1_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,2,MF,500,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_4
EMO BON PiEGetxo Ha 210729-211124 MF 01 1.2,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo1,PiEGetxo_G1_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,2,MF,100,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_5
EMO BON PiEGetxo Ha 210729-211124 SF 1.2,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo1,PiEGetxo_G1_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,2,SF,,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_6
EMO BON PiEGetxo Ha 210729-211124 MF 0.5 2.1,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo2,PiEGetxo_G2_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,1,MF,500,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_7
EMO BON PiEGetxo Ha 210729-211124 MF 01 2.1,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo2,PiEGetxo_G2_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,1,MF,100,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_8
EMO BON PiEGetxo Ha 210729-211124 SF 2.1,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo2,PiEGetxo_G2_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,1,SF,,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_9
EMO BON PiEGetxo Ha 210729-211124 MF 0.5 2.2,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo2,PiEGetxo_G2_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,2,MF,500,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_10
EMO BON PiEGetxo Ha 210729-211124 MF 01 2.2,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo2,PiEGetxo_G2_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,2,MF,100,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_11
EMO BON PiEGetxo Ha 210729-211124 SF 2.2,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo2,PiEGetxo_G2_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,2,SF,,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_12
EMO BON PiEGetxo Ha 210729-211124 Blank,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2021-07-29 collected on 2021-11-24. Size fraction blankum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,cotton swab [OBI:0002821],2021-07-29 00:00:00,2021-11-24 00:00:00,PiEGetxo2,PiEGetxo_G2_Ha_210729_211124,,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,blank,blank,,,ARMS Handbook v3.0,2 replicates collected ,2021-11-24 00:00:00,,,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,,,No,N,2022-10-17 00:00:00,2022-10-19 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_PiEGetxo_Ha_13
EMOBON_PiEGetxo_1_Ha_24521_241022_SF40_1,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2024-05-21 collected on 2024-10-22. Size fraction SF40um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2024-05-21 00:00:00,2024-10-22 00:00:00,PiEGetxo1,PiEGetxo_1_Ha_240521_241022,No,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,1,SF,40,,ARMS Handbook v3.0,4 replicates collected,2024-10-22 00:00:00,"PiE-UPV/EHU, BBEBB, Freezer nº12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,No,No,2025-01-13 00:00:00,2025-01-15 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_PiEGetxo_Ha_14
EMOBON_PiEGetxo_1_Ha_24521_241022_SF40_2,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2024-05-21 collected on 2024-10-22. Size fraction SF40um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2024-05-21 00:00:00,2024-10-22 00:00:00,PiEGetxo1,PiEGetxo_1_Ha_240521_241022,No,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,2,SF,40,,ARMS Handbook v3.0,4 replicates collected,2024-10-22 00:00:00,"PiE-UPV/EHU, BBEBB, Freezer nº12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,No,No,2025-01-13 00:00:00,2025-01-15 00:00:00,-20,NA,NA,batch_6,,not sequenced due to low budget; to be returned to the stations,,EMOBON_PiEGetxo_Ha_15
EMOBON_PiEGetxo_2_Ha_24521_241022_SF40_1,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2024-05-21 collected on 2024-10-22. Size fraction SF40um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2024-05-21 00:00:00,2024-10-22 00:00:00,PiEGetxo2,PiEGetxo_2_Ha_240521_241022,No,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,1,SF,40,,ARMS Handbook v3.0,4 replicates collected,2024-10-22 00:00:00,"PiE-UPV/EHU, BBEBB, Freezer nº12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,No,No,2025-01-13 00:00:00,2025-01-15 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_PiEGetxo_Ha_16
EMOBON_PiEGetxo_2_Ha_24521_241022_SF40_2,EMOBON metagenome  sample from station PiEGetxo. ARMS deployed on 2024-05-21 collected on 2024-10-22. Size fraction SF40um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2024-05-21 00:00:00,2024-10-22 00:00:00,PiEGetxo2,PiEGetxo_2_Ha_240521_241022,No,DESS,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,10,,2,SF,40,,ARMS Handbook v3.0,4 replicates collected,2024-10-22 00:00:00,"PiE-UPV/EHU, BBEBB, Freezer nº12",-80,Xabier Lekube,https://orcid.org/0000-0002-1005-4593,Ibon Cancio,https://orcid.org/0000-0003-4841-0079,No,No,2025-01-13 00:00:00,2025-01-15 00:00:00,-20,NA,NA,batch_6,,not sequenced due to low budget; to be returned to the stations,,EMOBON_PiEGetxo_Ha_17
